grade,gender,raceeth,preschool,expectBachelors,motherHS,motherBachelors,motherWork,fatherHS,fatherBachelors,fatherWork,selfBornUS,motherBornUS,fatherBornUS,englishAtHome,computerForSchoolwork,read30MinsADay,minutesPerWeekEnglish,studentsInEnglish,schoolHasLibrary,publicSchool,urban,schoolSize,readingScore
10,0,White,1,1,1,0,1,1,1,1,1,0,1,1,1,1,235,22,1,0,1,356,High
10,0,Hispanic,1,1,0,0,1,0,0,1,1,0,0,0,0,0,180,20,1,0,1,570,Low
10,0,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,25,1,1,1,2999,High
10,1,White,1,1,1,0,1,1,0,1,1,1,0,1,1,0,300,22,1,1,0,899,Low
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,21,1,1,0,1526,High
10,0,Hispanic,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,28,1,1,0,2569,Low
10,1,White,0,1,0,0,1,0,0,1,1,1,1,1,1,0,270,21,1,1,0,196,High
10,1,White,0,1,1,1,0,1,1,1,1,1,1,1,1,1,270,35,1,1,1,1734,High
10,0,White,1,1,1,0,0,1,1,1,1,1,1,1,1,0,300,23,1,1,0,434,High
10,0,Black,1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,28,1,1,0,2878,Low
11,1,Hispanic,1,1,0,0,0,1,0,1,1,0,1,0,1,0,255,25,1,1,1,1763,Low
10,0,Hispanic,0,1,0,0,0,1,0,0,1,1,1,1,0,1,360,40,1,1,1,3201,High
11,0,White,1,1,1,0,0,1,0,1,1,1,1,1,0,0,250,28,1,1,0,505,High
10,1,Hispanic,1,1,1,0,1,0,0,1,1,1,1,0,1,0,375,30,1,1,0,1101,High
11,0,White,1,1,1,0,1,1,0,1,1,1,1,1,1,0,350,25,1,1,0,1295,Low
10,1,White,1,1,1,0,1,1,0,1,1,1,1,1,1,1,375,20,1,1,0,2183,High
10,1,White,1,1,1,1,0,1,0,1,1,1,1,1,1,0,275,18,1,1,0,362,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,24,1,0,1,1212,High
10,0,White,1,1,1,0,1,1,0,1,1,1,1,1,1,1,325,30,1,1,0,712,High
10,1,American Indian/Alaska Native,1,1,1,0,0,1,0,0,1,1,1,1,1,0,225,25,1,1,0,1610,Low
10,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,1,225,18,0,0,1,366,High
10,0,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,20,0,1,1,502,High
10,0,White,1,0,1,0,1,1,0,1,1,1,1,1,1,1,300,30,1,1,0,1913,High
9,0,White,1,1,1,0,1,1,0,1,1,1,1,1,0,0,450,30,1,1,0,1173,Low
10,0,White,0,1,0,0,0,1,0,1,1,1,1,1,1,1,435,30,1,1,0,1317,High
10,1,Hispanic,1,1,1,1,1,1,1,1,1,1,1,0,1,1,255,2,1,1,0,996,High
10,1,Black,1,0,1,0,1,1,0,1,1,1,1,1,1,0,50,32,1,1,1,1392,Low
10,0,More than one race,1,1,1,0,1,1,0,1,1,1,1,1,1,1,45,34,1,1,0,1064,High
10,0,White,1,1,0,0,1,1,0,1,0,0,1,1,1,0,300,25,1,1,0,929,High
10,1,Asian,0,1,1,0,0,1,0,0,1,0,0,0,0,1,270,45,1,1,1,3201,Low
10,0,White,1,1,1,1,1,1,1,1,1,1,0,1,1,0,250,18,1,1,0,1064,High
10,0,Hispanic,1,1,1,0,0,0,0,1,1,0,1,0,1,1,300,25,1,1,0,1900,Low
10,0,White,1,0,1,0,1,1,1,1,1,1,1,1,1,0,35,3,1,1,0,2098,Low
10,1,White,1,1,1,0,1,1,0,0,1,1,0,1,1,1,225,22,1,1,0,850,Low
10,0,Hispanic,1,1,1,0,1,1,0,1,1,0,1,1,1,0,40,20,1,1,0,1680,Low
9,1,More than one race,0,1,1,0,0,1,0,0,1,1,1,1,1,0,250,20,1,1,1,2004,High
10,0,White,1,1,1,0,1,1,0,1,1,1,1,1,0,1,400,30,1,1,0,979,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,25,1,0,0,1064,High
10,1,White,0,1,1,0,1,1,0,1,0,0,0,0,1,0,250,40,1,1,1,3138,Low
10,1,Asian,1,1,1,0,1,1,0,1,1,0,0,0,1,0,270,38,1,1,1,2085,High
10,1,White,1,0,1,0,1,1,0,1,1,1,1,1,1,0,270,15,1,1,0,389,Low
10,0,White,1,1,1,1,1,1,0,1,1,1,1,1,1,1,225,19,1,1,0,358,Low
11,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,215,15,1,1,0,774,High
10,1,More than one race,1,1,1,0,0,1,0,1,1,1,1,1,0,1,275,33,1,1,1,2162,High
10,0,Hispanic,0,1,1,0,1,1,0,1,1,0,0,0,1,0,180,20,1,1,0,996,Low
9,1,Hispanic,0,1,0,0,0,0,0,1,1,0,0,0,1,0,54,30,1,1,1,3592,Low
10,1,Hispanic,1,0,0,0,1,0,0,1,0,0,0,0,0,1,250,35,1,1,1,1095,Low
10,1,White,1,1,1,0,1,1,0,1,1,1,1,1,1,0,270,17,1,1,0,389,Low
10,1,Asian,1,1,1,1,0,1,1,1,1,1,0,1,1,0,160,15,1,1,1,1900,High
10,1,White,0,1,1,0,1,1,1,1,1,1,1,1,1,0,250,15,1,1,0,421,High
11,0,White,1,1,1,0,1,1,0,0,1,1,1,1,0,1,200,20,1,1,0,754,High
10,1,White,0,1,1,1,1,1,1,1,1,1,1,1,0,0,275,25,1,1,0,1382,High
10,0,Hispanic,1,1,0,0,0,0,0,1,1,0,0,0,1,1,225,23,1,1,1,1408,High
10,1,White,0,1,1,1,1,1,0,1,1,1,1,1,0,0,450,20,1,1,0,1173,Low
10,0,White,0,1,1,0,0,1,0,0,1,1,1,1,1,1,300,26,1,1,0,1064,High
11,0,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,1897,High
10,0,White,1,1,1,0,0,1,0,1,1,1,1,1,1,0,275,38,1,1,1,2085,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,612,High
11,0,More than one race,1,1,1,1,0,1,1,1,0,0,1,1,1,1,270,25,1,1,0,1680,High
10,0,White,1,0,1,0,0,1,1,1,1,1,1,1,1,0,210,25,1,1,0,996,Low
10,1,White,1,1,1,0,0,1,1,1,1,1,1,1,1,0,250,25,1,1,0,1233,Low
10,0,White,1,1,1,0,1,1,0,1,1,1,1,1,1,1,225,16,1,1,0,358,High
9,1,Hispanic,0,1,0,0,1,0,0,1,0,0,0,0,1,1,150,30,1,1,0,926,High
10,1,White,1,0,1,1,1,1,1,1,1,1,1,1,1,0,250,20,1,1,0,1526,High
11,1,White,1,1,1,1,0,1,1,1,1,1,1,1,1,0,264,32,1,1,0,2402,Low
10,1,Black,0,1,1,0,1,1,0,1,1,1,1,1,1,0,250,30,1,1,1,3592,Low
10,1,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,25,1,1,0,979,High
10,0,Hispanic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,225,20,1,1,0,3004,Low
11,0,White,1,1,1,0,1,1,0,0,1,1,1,1,0,0,275,30,1,1,0,1411,Low
10,0,White,0,0,1,1,1,1,1,1,1,1,1,1,0,0,240,15,1,1,0,509,Low
10,1,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,300,22,1,1,0,899,Low
10,0,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,500,26,1,1,0,2183,High
10,1,White,0,1,1,0,1,1,0,1,1,1,1,1,1,0,540,20,1,1,0,2361,Low
11,0,White,1,0,1,0,1,1,0,1,1,1,1,1,1,1,275,20,1,1,0,868,High
11,1,Hispanic,0,1,0,0,0,1,0,1,1,0,0,0,1,1,270,30,1,0,1,570,High
10,1,White,0,0,1,0,1,0,0,0,1,1,1,1,0,0,225,10,1,1,1,2004,Low
10,0,Black,1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,29,0,1,1,1392,Low
10,1,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,275,18,1,1,0,1913,Low
10,0,White,1,1,1,0,0,1,0,1,1,1,1,1,1,1,735,20,1,1,0,987,Low
11,0,Black,1,1,1,0,0,1,0,1,1,1,0,1,1,0,450,25,1,1,1,1720,High
10,1,White,1,1,1,0,1,1,1,1,1,1,1,1,1,0,180,20,1,0,1,1212,High
10,1,White,0,1,1,0,0,1,0,0,1,1,1,1,1,0,250,25,1,1,1,2004,Low
10,0,White,1,1,1,1,0,1,1,1,1,1,1,1,1,1,275,18,1,1,0,690,High
11,1,White,0,1,1,0,1,1,1,0,1,1,1,1,1,0,400,25,1,1,0,930,High
9,1,White,1,0,0,0,1,0,0,1,1,1,1,1,0,0,450,13,1,1,0,865,Low
10,0,Hispanic,1,1,0,0,1,0,0,1,0,0,0,1,0,0,30,30,1,1,0,1347,Low
10,1,White,0,1,1,1,0,1,1,1,1,0,1,1,1,0,250,27,1,1,0,1375,High
10,1,White,1,1,1,1,1,1,0,0,1,1,1,1,1,0,260,30,1,1,1,2080,High
9,1,White,1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,19,1,1,0,636,Low
9,1,Hispanic,0,0,0,0,1,0,0,1,0,0,0,0,0,0,360,35,1,1,1,1408,Low
10,0,White,1,0,1,1,0,1,0,1,1,1,1,1,1,0,250,60,1,1,0,1382,High
10,0,White,1,1,1,0,1,1,0,1,1,1,1,1,1,1,250,20,1,1,0,1375,High
10,0,Black,1,1,1,0,0,1,0,0,1,1,1,1,1,1,110,26,1,1,0,507,Low
10,0,Black,1,1,1,1,1,1,0,0,1,1,0,1,1,1,50,35,1,1,1,1392,Low
11,1,White,1,1,1,0,1,1,1,1,1,1,1,1,1,1,250,12,1,0,1,915,High
10,1,Hispanic,1,0,1,0,1,1,0,1,1,1,1,1,1,0,180,30,1,1,1,2942,Low
10,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,220,20,1,1,0,690,High
11,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,25,1,1,0,1610,High
10,0,Asian,1,1,1,0,1,1,1,0,1,0,0,1,1,0,250,13,1,0,1,915,High
11,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,28,1,1,0,1680,High
10,1,White,1,0,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,1,1378,Low
10,1,White,0,0,1,0,1,0,0,0,1,1,1,1,0,0,250,23,1,1,0,507,Low
9,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,1,275,25,1,0,1,308,High
10,1,Black,1,1,1,1,1,1,1,1,1,1,1,1,1,1,282,17,1,1,1,1619,High
11,0,White,1,1,1,0,1,1,0,1,1,1,1,1,1,1,250,30,1,0,1,308,High
10,1,White,1,1,1,0,0,1,0,0,1,1,1,1,1,0,630,20,1,1,0,261,Low
10,1,White,1,1,1,0,1,1,0,0,1,1,1,1,0,0,450,17,1,1,0,865,High
10,0,American Indian/Alaska Native,1,0,1,0,1,0,0,1,1,1,1,1,0,1,350,20,0,1,0,300,Low
11,1,White,0,0,1,0,1,1,0,1,1,1,1,1,1,0,275,20,1,1,0,362,High
9,1,Black,0,1,1,0,0,1,1,1,1,1,0,1,1,0,270,23,1,1,1,2999,Low
10,0,More than one race,1,1,1,0,1,1,0,0,1,1,1,1,1,1,250,30,1,1,0,1064,High
10,1,Hispanic,1,1,1,0,0,1,0,1,1,1,1,1,1,0,350,25,1,1,0,2569,Low
10,0,White,0,1,1,0,0,1,0,1,1,1,1,1,0,0,225,30,1,1,0,421,Low
10,0,White,0,1,1,0,1,1,0,1,1,1,1,1,0,1,250,12,1,1,0,1375,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,450,30,1,1,0,1173,Low
10,1,More than one race,1,0,1,1,1,0,0,1,1,1,1,1,1,0,225,24,1,1,0,227,Low
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,28,1,1,0,1471,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,15,1,1,1,2162,High
10,1,Black,1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,25,1,1,0,507,High
10,1,White,1,1,1,1,1,1,1,1,1,0,1,1,1,0,250,15,1,0,1,915,High
10,1,White,1,1,1,0,0,1,1,1,1,1,1,1,1,0,232,18,1,1,0,2710,High
10,0,White,1,1,1,1,0,1,1,1,1,1,1,1,1,1,160,30,1,1,1,2999,High
11,0,White,1,1,1,1,1,1,0,1,1,1,1,1,1,1,400,28,1,1,0,712,High
11,1,Black,0,1,1,1,1,0,0,1,0,0,0,0,1,1,390,25,1,1,0,2183,High
10,0,White,0,1,1,0,1,1,0,1,1,1,1,1,1,0,240,12,1,1,0,509,High
11,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,232,26,1,1,0,2710,High
10,1,White,0,1,1,1,1,1,1,1,1,1,1,1,1,0,300,25,1,1,0,690,Low
11,1,Asian,0,1,1,1,0,1,0,0,1,0,0,0,1,1,250,30,1,1,0,1733,High
11,1,White,1,1,1,0,0,1,0,1,1,1,1,1,1,0,225,24,1,0,0,1064,High
11,0,White,1,1,1,0,1,1,0,1,1,0,1,1,1,0,240,20,1,1,0,1087,High
10,0,Hispanic,0,1,1,0,1,1,0,1,1,1,0,1,1,0,275,11,1,1,1,539,High
10,0,White,0,1,0,0,1,0,0,0,1,1,1,1,0,1,250,20,1,1,0,366,High
10,1,Hispanic,1,1,1,0,1,1,0,1,0,0,0,0,1,0,300,30,1,1,1,2255,High
10,0,Hispanic,1,1,1,0,1,1,0,1,1,1,0,1,1,0,210,20,1,0,1,570,Low
9,0,Hispanic,1,0,1,0,1,1,0,1,1,1,1,1,1,1,250,15,1,1,1,2532,Low
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,30,1,1,0,1233,High
10,1,White,1,0,1,0,1,0,0,1,1,1,1,1,0,0,150,25,1,1,0,1848,Low
10,1,White,1,1,1,0,1,1,0,1,1,1,1,1,1,0,300,25,1,0,1,308,Low
10,0,White,1,0,0,0,0,0,0,1,1,1,1,1,1,1,250,30,1,1,0,505,Low
10,1,White,1,1,1,0,0,1,0,1,1,1,1,1,1,1,250,25,1,1,0,1064,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,0,1489,High
11,0,Black,0,1,1,0,1,1,0,1,1,1,1,1,1,0,450,25,1,1,0,432,High
10,0,Asian,1,1,1,1,1,1,1,1,1,0,0,1,1,0,275,15,1,0,1,915,High
10,1,White,1,0,1,0,1,1,0,1,1,1,1,1,1,0,300,30,1,1,1,2144,Low
11,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,30,0,0,1,308,Low
10,1,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,275,30,1,1,1,2080,High
10,0,White,1,1,1,0,1,0,0,1,1,1,1,1,0,0,275,25,1,1,0,362,High
10,1,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,366,High
10,0,White,1,0,0,0,0,0,0,1,1,1,1,1,1,0,450,20,1,1,0,1387,High
9,0,Black,0,0,1,0,0,1,0,0,1,1,1,1,0,0,60,15,1,1,0,100,Low
10,1,Native Hawaiian/Other Pacific Islander,1,1,1,0,0,1,0,1,1,0,0,1,1,0,275,30,1,1,0,2340,High
10,1,White,1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,1610,Low
9,1,Hispanic,1,0,1,1,0,1,1,1,0,0,1,0,1,0,225,24,1,1,0,2878,High
10,1,White,1,0,1,0,1,1,0,1,1,1,1,1,1,0,225,20,1,1,0,149,Low
11,1,Black,1,1,1,1,0,1,1,0,1,1,1,1,1,0,285,15,1,1,1,914,Low
10,0,White,1,1,1,0,1,1,0,1,1,1,1,1,1,0,220,20,1,1,0,2098,High
10,0,Hispanic,0,1,1,0,1,1,1,0,1,0,1,0,1,0,300,25,1,1,1,3164,High
9,0,White,1,1,1,0,0,1,0,1,1,1,1,1,0,0,480,15,1,1,0,434,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,120,25,1,0,1,1212,High
10,0,Hispanic,0,1,1,0,0,1,0,1,1,1,1,1,1,1,300,30,1,1,1,2942,High
10,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,1,250,20,1,1,0,1382,High
10,0,White,1,1,1,1,1,1,1,1,1,1,0,1,1,1,360,20,1,1,0,2361,High
10,0,More than one race,1,1,1,0,1,1,0,0,1,1,1,1,0,0,180,30,1,1,0,1380,Low
10,1,White,1,1,1,0,1,1,1,1,1,1,1,1,0,0,480,23,1,1,0,434,High
10,0,White,1,1,1,0,1,1,0,1,1,1,1,1,1,1,225,20,1,1,0,276,High
10,1,White,1,1,1,0,1,1,0,1,1,1,1,1,1,0,765,22,1,1,0,1610,High
9,1,Hispanic,0,1,1,0,1,1,0,1,1,1,1,1,1,0,225,20,1,1,1,2532,Low
11,1,Black,1,1,1,0,1,1,0,1,1,1,1,1,0,0,285,28,1,1,1,914,Low
10,0,White,1,1,1,1,0,1,1,1,1,1,1,1,1,0,250,28,1,1,0,3009,Low
10,0,White,1,0,1,0,1,1,0,1,1,1,1,1,1,1,235,28,1,1,0,1828,High
11,1,Hispanic,1,1,1,0,1,1,0,1,1,0,0,1,1,0,360,30,1,1,1,2886,High
10,0,White,1,1,0,0,1,1,0,1,1,1,1,1,1,0,250,20,1,1,0,400,Low
